LAPORAN PENJUALAN

Tanggal Cetak,2 Jul 2018
Tanggal,1 Jan 2018 - 2 Feb 2018
Total Omzet,2.5355E7
Total Laba Kotor,1.046319E7
Total Penjualan,209.0
Total Barang,214.0

ID Pesanan,Waktu,SKU,Nama Barang,Jumlah,Harga Jual,Total,Harga Beli,Laba
ID-20180103-604954,2018-01-03 0:34:29,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,115000,115000,67300,47700
,2018-01-02 22:14:11,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,0,0,73600,-73600
ID-20180102-427280,2018-01-02 21:51:03,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,110000,110000,62360,47640
ID-20180102-180156,2018-01-02 19:56:00,SSI-D01322275-XL-WHI,Thafqya Plain Raglan Blouse (XL,White),1.0,115000,115000,62360,52640
ID-20180102-093912,2018-01-02 19:27:00,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,120000,120000,71624,48376
ID-20180102-418554,2018-01-02 15:06:43,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,115000,115000,72961,42039
ID-20180102-418554,2018-01-02 15:06:43,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,130000,130000,71624,58376
ID-20180102-506428,2018-01-02 13:45:27,SSI-D00864652-SS-NAV,Deklia Plain Casual Blouse (S,Navy),1.0,115000,115000,71624,43376
ID-20180102-308026,2018-01-02 13:14:22,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,115000,115000,72961,42039
ID-20180102-760488,2018-01-02 9:14:14,SSI-D01037807-X3-BWH,Dellaya Plain Loose Big Blouse (XXXL,Broken White),1.0,120000,120000,62320,57680
ID-20180102-803756,2018-01-02 8:52:27,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,115000,115000,70071,44929
ID-20180102-804629,2018-01-02 8:03:35,SSI-D01326299-LL-NAV,Siunfhi Ethnic Trump Blouse (L,Navy),1.0,110000,110000,66955,43045
ID-20180102-835807,2018-01-02 6:56:04,SSI-D01326205-MM-NAV,Siunfhi Ethnic Trump Blouse (M,Navy),1.0,110000,110000,75209,34791
ID-20180102-835807,2018-01-02 6:56:04,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,130000,130000,70071,59929
ID-20180102-830252,2018-01-02 6:40:38,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,115000,115000,65560,49440
ID-20180102-022854,2018-01-02 5:50:57,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,110000,110000,70071,39929
ID-20180102-022854,2018-01-02 5:50:57,SSI-D01220338-XX-SAL,Devibav Plain Trump Blouse (XXL,Salem),1.0,125000,125000,67300,57700
ID-20180102-969899,2018-01-02 4:09:56,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,115000,115000,70071,44929
ID-20180102-906366,2018-01-02 3:57:16,SSI-D01037822-XX-BLA,Dellaya Plain Loose Big Blouse (XXL,Black),1.0,110000,110000,74010,35990
ID-20180102-710392,2018-01-02 2:07:43,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,125000,125000,70071,54929
ID-20180102-710392,2018-01-02 2:07:43,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,125000,125000,72961,52039
ID-20180102-353713,2018-01-02 1:54:07,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,125000,125000,67365,57635
ID-20180101-162850,2018-01-02 1:41:38,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,125000,125000,70883,54117
ID-20180101-215093,2018-01-01 22:55:32,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,130000,130000,67365,62635
ID-20180101-109691,2018-01-01 20:12:12,SSI-D01326201-XL-KHA,Siunfhi Ethnic Trump Blouse (XL,Khaki),1.0,125000,125000,69808,55192
ID-20180101-980137,2018-01-01 19:18:47,SSI-D01401050-MM-RED,Zeomila Zipper Casual Blouse (M,Red),1.0,110000,110000,70883,39117
ID-20180101-630436,2018-01-01 17:35:23,SSI-D01220357-SS-YEL,Devibav Plain Trump Blouse (S,Yellow),1.0,120000,120000,63650,56350
ID-20180101-563331,2018-01-01 12:06:25,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,120000,120000,78269,41731
ID-20180101-563331,2018-01-01 12:06:25,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,130000,130000,72961,57039
ID-20180101-004935,2018-01-01 11:42:48,SSI-D00864614-XL-NAV,Deklia Plain Casual Blouse (XL,Navy),1.0,130000,130000,65560,64440
ID-20180101-350274,2018-01-01 8:24:36,SSI-D00864661-MM-NAV,Deklia Plain Casual Blouse (M,Navy),1.0,125000,125000,72961,52039
ID-20180101-350274,2018-01-01 8:24:36,SSI-D01466064-X3-BLA,Salyara Plain Casual Big Blouse (XXXL,Black),1.0,115000,115000,70071,44929
ID-20180101-875701,2018-01-01 5:54:24,SSI-D01466013-XX-BLA,Salyara Plain Casual Big Blouse (XXL,Black),1.0,130000,130000,78269,51731
ID-20180101-875701,2018-01-01 5:54:24,SSI-D00864612-LL-NAV,Deklia Plain Casual Blouse (L,Navy),1.0,125000,125000,67365,57635
ID-20180101-023993,2018-01-01 4:08:30,SSI-D00791015-LL-BWH,Zalekia Plain Casual Blouse (L,Broken White),1.0,130000,130000,70447,59553
ID-20180101-023993,2018-01-01 4:08:30,SSI-D01322234-LL-WHI,Thafqya Plain Raglan Blouse (L,White),1.0,110000,110000,73600,36400
